Platform,Buyer ID,Publisher,Ad Format,Transaction Type,Sales Region,Year of Date Month,Quarter of Date Month,Month of Date Month,Pub Account Id,Ad Requests,Gross Spend,Impressions,Net Revenue
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q1,January,60290,274471.8759,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q1,February,60290,206496.1332,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q1,March,60290,188622.4428,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q2,April,60290,153363.6108,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q2,May,60290,127614.2013,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q2,June,60290,62978.769,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q3,July,60290,96726.7449,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q3,August,60290,131644.7289,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q3,September,60290,85924.9404,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q4,October,60290,130608.9297,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q4,November,60290,147363.7392,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2018,Q4,December,60290,103909.4064,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2019,Q1,January,60290,150203.4291,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 1,2019,Q1,February,60290,136919.3517,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q1,January,60290,142322.976,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q1,February,60290,128293.2936,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q1,March,60290,59528.1564,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q2,April,60290,212.0832,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q2,May,60290,187.2297,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q2,June,60290,525.0006,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q3,July,60290,109.3554,0,0,0
Platform 1,0,Publisher A,ad format 2,transaction 9,sales region 10,2018,Q3,August,60290,107.2251,0,0,0
